Exp_id,Mask,Price,Form,N_ch,CSP+LDA_AUC,CSP+LDA_F1,CSP+SVM_AUC,CSP+SVM_F1,TS+LR_AUC,TS+LR_F1,TS+SVM_AUC,TS+SVM_F1,TS+EL_AUC,TS+EL_F1
20251228_1420_BRAINBIT_DRAGON_multi_pipes,BRAINBIT_DRAGON,3218.0,Cap,21,69.04 ± 12.77,64.38 ± 11.23,69.03 ± 12.71,64.69 ± 11.12,71.95 ± 13.29,66.84 ± 11.52,69.78 ± 12.94,64.83 ± 11.10,72.24 ± 13.20,66.89 ± 11.15
20251228_1430_BRAINBIT_HEADPHONES_multi_pipes,BRAINBIT_HEADPHONES,790.0,Headphones,3,62.14 ± 11.12,59.21 ± 9.43,61.98 ± 11.14,58.30 ± 9.71,64.12 ± 11.78,60.42 ± 9.96,63.82 ± 11.94,60.27 ± 9.93,63.95 ± 11.82,60.17 ± 9.89
20251230_1032_BRAINBIT_HEADBAND_PRO_multi_pipes,BRAINBIT_HEADBAND_PRO,1042.0,Headband,8,64.07 ± 10.94,60.65 ± 9.53,64.00 ± 10.89,60.18 ± 10.24,68.34 ± 11.87,63.78 ± 10.30,68.14 ± 11.72,63.17 ± 10.16,68.29 ± 11.76,63.72 ± 10.12
20251230_1051_BRAINBIT_HEADBAND_multi_pipes,BRAINBIT_HEADBAND,434.0,Headband,4,56.54 ± 8.93,55.02 ± 7.16,56.39 ± 8.80,53.52 ± 7.91,56.88 ± 8.91,55.11 ± 6.93,56.85 ± 8.80,53.84 ± 7.70,57.03 ± 8.80,54.80 ± 7.17
20260113_1639_NEEURO_SENZEBAND_multi_pipes,NEEURO_SENZEBAND,450.0,Headband,4,55.17 ± 8.12,53.59 ± 6.82,55.29 ± 7.93,52.86 ± 6.58,57.18 ± 10.07,54.99 ± 7.43,56.99 ± 10.11,54.88 ± 7.75,57.02 ± 9.98,55.01 ± 7.49
20260114_1138_ABM_B_ALERT_X24_multi_pipes,ABM_B_ALERT_X24,,Helmet,20,69.44 ± 13.63,64.68 ± 11.57,69.52 ± 13.46,64.94 ± 11.74,73.52 ± 12.55,67.75 ± 11.17,71.10 ± 12.57,65.76 ± 10.90,74.12 ± 12.38,68.57 ± 10.81
20260114_1146_ABM_B_ALERT_X10_multi_pipes,ABM_B_ALERT_X10,,Helmet,9,69.02 ± 12.42,63.93 ± 10.80,69.03 ± 12.41,64.24 ± 10.64,70.15 ± 12.78,65.31 ± 10.77,69.75 ± 12.46,64.53 ± 10.63,70.31 ± 13.00,65.14 ± 10.93
20260114_1213_NEUROSKY_MINDWAVE_2_multi_pipes,NEUROSKY_MINDWAVE_2,150.0,Helmet,1,53.91 ± 6.01,52.26 ± 5.05,53.91 ± 6.01,50.68 ± 6.24,53.87 ± 6.02,52.20 ± 5.13,53.91 ± 6.01,50.65 ± 6.26,53.66 ± 5.89,50.32 ± 6.97
20260114_1333_WS_DSI_24_multi_pipes,WS_DSI_24,,Helmet,19,69.52 ± 13.48,64.63 ± 11.62,69.60 ± 13.40,65.16 ± 11.64,73.33 ± 12.73,67.57 ± 11.06,71.07 ± 12.57,66.23 ± 10.50,73.81 ± 12.61,68.65 ± 10.87
20260114_1351_WS_DSI_7_multi_pipes,WS_DSI_7,,Helmet,7,67.88 ± 13.56,63.29 ± 11.41,67.56 ± 13.63,62.64 ± 11.47,68.83 ± 13.89,64.19 ± 11.48,68.35 ± 13.56,63.21 ± 11.32,68.88 ± 13.83,64.34 ± 11.53
20260114_1359_WS_DSI_VR300_multi_pipes,WS_DSI_VR300,,Helmet,7,65.48 ± 11.70,61.17 ± 9.42,65.40 ± 11.74,60.75 ± 9.76,66.70 ± 11.79,62.48 ± 9.13,66.28 ± 11.53,61.60 ± 9.24,66.82 ± 11.87,62.44 ± 9.39
20260114_1404_WS_DSI_VRVEP_multi_pipes,WS_DSI_VRVEP,,Helmet,7,61.40 ± 9.73,57.97 ± 7.52,61.59 ± 9.79,57.83 ± 7.80,62.93 ± 9.66,59.32 ± 7.43,62.33 ± 9.25,58.30 ± 7.20,62.81 ± 9.71,59.06 ± 7.44
